COLLECTION_ID,LOAN_ID,BUCKET,AGENT_ID,RECOVERY_STATUS,RECOVERY_AMOUNT,FOLLOWUP_DATE
1,900004,0-30,3056,PARTIAL,171328.83,2026-07-11
2,900004,0-30,3056,PENDING,0.0,2026-07-25
3,900009,0-30,3078,PARTIAL,19324.56,2026-06-16
4,900009,0-30,3078,PENDING,0.0,2026-06-29
5,900009,0-30,3078,PENDING,0.0,2026-07-12
6,900009,30-60,3078,PENDING,0.0,2026-07-25
7,900011,0-30,3063,PENDING,0.0,2026-02-20
8,900011,0-30,3063,PARTIAL,513348.85,2026-03-31
9,900011,30-60,3063,PENDING,0.0,2026-05-08
10,900011,60-90,3063,PENDING,0.0,2026-06-16
11,900011,90+,3063,WRITE_OFF,28742.48,2026-07-25
12,900013,60-90,3053,PENDING,0.0,2026-04-18
13,900013,90+,3053,WRITE_OFF,35687.74,2026-07-25
14,900014,30-60,3024,PARTIAL,1591.25,2026-07-25
15,900015,0-30,3073,PENDING,0.0,2026-01-28
16,900015,0-30,3073,PENDING,0.0,2026-02-22
17,900015,0-30,3073,PARTIAL,58979.59,2026-03-20
18,900015,0-30,3073,PENDING,0.0,2026-04-14
19,900015,0-30,3073,PENDING,0.0,2026-05-09
20,900015,30-60,3073,PARTIAL,45669.07,2026-06-04
21,900015,60-90,3073,PARTIAL,18794.09,2026-06-29
22,900015,90+,3073,WRITE_OFF,23907.15,2026-07-25
23,900018,0-30,3019,PENDING,0.0,2025-10-24
24,900018,0-30,3019,PENDING,0.0,2025-11-23
25,900018,0-30,3019,PENDING,0.0,2025-12-24
26,900018,0-30,3019,PARTIAL,13569.95,2026-01-23
27,900018,0-30,3019,PARTIAL,14184.79,2026-02-23
28,900018,0-30,3019,PARTIAL,29198.65,2026-03-25
29,900018,0-30,3019,PENDING,0.0,2026-04-24
30,900018,30-60,3019,PENDING,0.0,2026-05-25
31,900018,60-90,3019,PARTIAL,18816.89,2026-06-24
32,900018,90+,3019,PENDING,0.0,2026-07-25
33,900021,0-30,3031,PENDING,0.0,2026-06-30
34,900021,0-30,3031,PENDING,0.0,2026-07-12
35,900021,30-60,3031,PARTIAL,5384.74,2026-07-25
36,900025,0-30,3075,PARTIAL,95.39,2026-07-25
37,900026,0-30,3078,PENDING,0.0,2026-07-25
38,900028,0-30,3059,PENDING,0.0,2025-10-20
39,900028,0-30,3059,PENDING,0.0,2025-11-29
40,900028,0-30,3059,PARTIAL,475682.2,2026-01-07
41,900028,0-30,3059,PENDING,0.0,2026-02-16
42,900028,0-30,3059,PENDING,0.0,2026-03-28
43,900028,30-60,3059,PARTIAL,311963.85,2026-05-06
44,900028,60-90,3059,PENDING,0.0,2026-06-15
45,900028,90+,3059,PENDING,0.0,2026-07-25
46,900029,30-60,3065,PENDING,0.0,2026-07-25
47,900034,0-30,3009,PENDING,0.0,2026-07-01
48,900034,30-60,3009,PENDING,0.0,2026-07-25
49,900035,30-60,3069,PENDING,0.0,2026-07-25
50,900036,30-60,3067,PENDING,0.0,2026-07-25
51,900037,0-30,3018,PENDING,0.0,2025-08-18
52,900037,0-30,3018,PARTIAL,1234748.72,2025-09-11
53,900037,0-30,3018,PENDING,0.0,2025-10-06
54,900037,0-30,3018,PENDING,0.0,2025-10-30
55,900037,0-30,3018,PENDING,0.0,2025-11-23
56,900037,0-30,3018,PENDING,0.0,2025-12-18
57,900037,0-30,3018,PENDING,0.0,2026-01-11
58,900037,0-30,3018,PENDING,0.0,2026-02-04
59,900037,0-30,3018,PENDING,0.0,2026-03-01
60,900037,0-30,3018,PARTIAL,737855.45,2026-03-25
61,900037,0-30,3018,PARTIAL,1188178.42,2026-04-18
62,900037,0-30,3018,PARTIAL,164933.33,2026-05-13
63,900037,30-60,3018,PARTIAL,215874.83,2026-06-06
64,900037,60-90,3018,PARTIAL,1092707.39,2026-06-30
65,900037,90+,3018,PARTIAL,581214.78,2026-07-25
66,900038,0-30,3017,PENDING,0.0,2026-06-28
67,900038,30-60,3017,PENDING,0.0,2026-07-25
68,900044,0-30,3018,PENDING,0.0,2026-07-16
