LOAN_ID,CIF_NO,PRODUCTFLAG,BRANCH_ID,EMPID,STATUS,DISBURSAL_DATE,EMI_END_DATE,AMOUNT_FIN,RATE_OF_INTEREST,DPD,EMI_OVERDUE,PRINCIPAL_OUTSTANDING
900001,700001,LAP,12,2086,CLOSED,2024-05-09,2029-09-09,13387300.0,12.43,0,0,0.0
900002,700002,MFI,23,2041,CLOSED,2019-04-28,2019-11-28,15500.0,19.0,0,0,0.0
900003,700003,CL,4,2090,CLOSED,2025-09-12,2027-02-12,49700.0,15.76,0,0,0.0
900004,700004,GL,13,2007,ACTIVE,2024-07-06,2025-01-06,1741800.0,9.87,27,1,296277.18
900005,700004,GL,12,2086,CLOSED,2018-09-27,2019-05-27,211900.0,10.3,0,0,0.0
900006,700005,MFI,18,2098,CLOSED,2025-07-25,2026-05-25,16900.0,20.85,0,0,0.0
900007,700005,CL,21,2113,CLOSED,2024-12-17,2025-11-17,15800.0,14.94,0,0,0.0
900008,700005,CL,18,2103,CLOSED,2019-12-09,2020-12-09,442500.0,15.2,0,0,0.0
900009,700006,EL,9,2057,ACTIVE,2023-08-11,2028-07-11,2195100.0,9.85,52,1,46704.67
900010,700006,HL,2,2106,ACTIVE,2018-08-22,2024-05-22,745000.0,9.09,14,2,27494.03
900011,700007,LAP,12,2017,ACTIVE,2021-07-31,2027-09-30,9352100.0,12.19,193,6,1044866.51
900012,700008,CL,2,2106,CLOSED,2020-03-04,2021-03-04,482400.0,15.34,0,0,0.0
900013,700008,PL,16,2027,ACTIVE,2019-06-08,2020-10-08,509500.0,16.05,196,6,203856.2
900014,700009,CL,2,2062,ACTIVE,2022-08-02,2023-12-02,67600.0,15.3,41,1,4638.24
900015,700010,PL,20,2031,ACTIVE,2022-05-21,2023-12-21,420500.0,19.53,203,6,146962.07
900016,700011,GL,21,2008,CLOSED,2024-08-04,2025-03-04,1575300.0,8.11,0,0,0.0
900017,700012,GL,25,2013,CLOSED,2023-09-16,2024-03-16,216700.0,8.66,0,0,0.0
900018,700012,GL,25,2013,ACTIVE,2020-04-28,2021-04-28,66000.0,8.3,304,10,55375.59
900019,700013,CL,7,2087,CLOSED,2021-05-29,2022-04-29,57600.0,15.58,0,0,0.0
900020,700014,EL,13,2007,CLOSED,2023-08-29,2028-07-29,954400.0,10.93,0,0,0.0
900021,700014,EL,24,2089,ACTIVE,2024-09-15,2028-03-15,372800.0,11.06,37,1,10646.95
900022,700015,GL,11,2075,CLOSED,2024-01-18,2024-09-18,223800.0,9.22,0,0,0.0
900023,700016,EL,4,2085,CLOSED,2022-10-14,2024-11-14,2320700.0,9.42,0,0,0.0
900024,700017,BL,14,2043,CLOSED,2024-04-11,2026-11-11,4953600.0,17.22,0,0,0.0
900025,700018,MFI,24,2063,ACTIVE,2024-08-31,2025-05-31,6600.0,21.67,21,1,786.92
900026,700019,AL,9,2006,ACTIVE,2022-07-28,2024-11-28,476100.0,12.18,23,2,38649.86
900027,700020,MFI,10,2101,CLOSED,2018-03-30,2019-01-30,22600.0,20.51,0,0,0.0
900028,700021,GL,8,2038,ACTIVE,2023-06-20,2024-05-20,1416400.0,8.82,317,10,1292299.13
900029,700021,PL,8,2070,ACTIVE,2022-12-06,2023-12-06,502900.0,15.76,31,1,44980.71
900030,700022,CL,17,2051,CLOSED,2025-10-05,2026-04-05,20100.0,14.6,0,0,0.0
900031,700022,CL,17,2058,CLOSED,2023-10-05,2024-08-05,37500.0,14.77,0,0,0.0
900032,700022,AL,16,2024,CLOSED,2024-11-08,2026-08-08,2129600.0,10.78,0,0,0.0
900033,700023,PL,22,2019,CLOSED,2020-02-23,2021-03-23,787200.0,18.86,0,0,0.0
900034,700024,EL,13,2054,ACTIVE,2021-09-16,2023-10-16,1651800.0,8.49,48,1,71812.18
900035,700025,GL,6,2053,ACTIVE,2018-04-24,2018-11-24,1557800.0,8.92,38,1,227517.59
900036,700026,GL,11,2064,ACTIVE,2025-04-05,2025-11-05,939400.0,9.89,40,1,137526.99
900037,700027,BL,16,2037,ACTIVE,2025-10-07,2027-09-07,3789600.0,17.81,365,12,2136618.92
900038,700027,AL,1,2020,ACTIVE,2024-07-02,2027-05-02,391300.0,11.45,54,1,13402.87
900039,700028,TWL,22,2019,CLOSED,2023-08-20,2025-06-20,32800.0,10.62,0,0,0.0
900040,700028,PL,10,2045,CLOSED,2024-11-01,2025-11-01,713000.0,11.98,0,0,0.0
900041,700029,MFI,19,2081,CLOSED,2023-04-12,2024-01-12,5300.0,21.25,0,0,0.0
900042,700029,EL,20,2056,CLOSED,2023-07-12,2027-03-12,86700.0,10.13,0,0,0.0
900043,700030,CL,17,2058,CLOSED,2020-10-10,2021-07-10,445100.0,16.79,0,0,0.0
900044,700030,AL,16,2037,ACTIVE,2021-03-26,2023-08-26,308800.0,11.86,17,1,12178.87
900045,700031,TWL,7,2087,CLOSED,2025-03-19,2027-03-19,250100.0,13.77,0,0,0.0
900046,700032,MFI,23,2041,CLOSED,2025-11-08,2026-07-08,39000.0,23.95,0,0,0.0
900047,700032,PL,23,2023,ACTIVE,2024-06-25,2025-10-25,405400.0,20.8,51,1,28732.7
900048,700032,CL,23,2023,CLOSED,2025-08-24,2026-10-24,287000.0,18.09,0,0,0.0
900049,700033,PL,7,2010,ACTIVE,2025-03-27,2026-06-27,616400.0,13.74,14,1,44448.49
900050,700033,BL,1,2020,CLOSED,2025-05-20,2029-02-20,1144200.0,16.02,0,0,0.0
900051,700034,MFI,14,2100,CLOSED,2024-04-22,2025-03-22,53600.0,21.37,0,0,0.0
900052,700035,MFI,16,2078,CLOSED,2018-10-09,2019-08-09,6300.0,22.14,0,0,0.0
900053,700036,GL,12,2096,ACTIVE,2022-12-01,2023-09-01,1058400.0,8.26,16,1,120852.55
900054,700037,PL,21,2036,CLOSED,2025-09-09,2027-09-09,301600.0,18.61,0,0,0.0
900055,700038,GL,1,2020,ACTIVE,2022-10-29,2023-10-29,1424800.0,10.06,45,1,124260.6
900056,700038,MFI,3,2084,CLOSED,2024-07-21,2025-06-21,5500.0,22.96,0,0,0.0
900057,700039,BL,1,2032,ACTIVE,2024-11-24,2029-10-24,488100.0,16.48,9,2,23761.28
900058,700040,CL,11,2039,CLOSED,2022-08-24,2023-12-24,72100.0,17.82,0,0,0.0
900059,700041,AL,21,2088,CLOSED,2018-09-27,2021-02-27,2648700.0,11.55,0,0,0.0
900060,700041,GL,22,2026,CLOSED,2025-02-08,2026-02-08,1090000.0,9.21,0,0,0.0
900061,700042,TWL,1,2004,CLOSED,2023-06-22,2024-06-22,101000.0,14.65,0,0,0.0
900062,700043,PL,21,2113,CLOSED,2019-08-31,2021-05-31,378000.0,12.89,0,0,0.0
900063,700044,PL,23,2069,ACTIVE,2025-03-23,2026-11-23,51800.0,12.46,34,1,2851.99
900064,700045,PL,18,2103,ACTIVE,2020-02-24,2022-01-24,62900.0,16.7,14,1,3170.47
900065,700046,GL,2,2104,CLOSED,2022-01-30,2022-10-30,980600.0,8.41,0,0,0.0
900066,700046,MFI,14,2043,CLOSED,2018-04-27,2018-11-27,18800.0,20.08,0,0,0.0
900067,700047,PL,9,2046,ACTIVE,2019-11-11,2020-11-11,124900.0,16.28,3,2,22244.0
900068,700048,PL,5,2102,CLOSED,2025-12-21,2027-07-21,104500.0,14.66,0,0,0.0
900069,700049,MFI,1,2049,CLOSED,2023-09-12,2024-06-12,10500.0,22.07,0,0,0.0
900070,700050,GL,22,2026,CLOSED,2020-12-02,2021-10-02,19400.0,10.46,0,0,0.0
900071,700051,TWL,23,2005,CLOSED,2025-12-10,2027-10-10,43000.0,15.29,0,0,0.0
900072,700052,BL,4,2085,CLOSED,2025-07-19,2026-09-19,763900.0,16.46,0,0,0.0
900073,700053,AL,22,2026,CLOSED,2024-06-04,2027-03-04,2042400.0,9.0,0,0,0.0
900074,700054,AL,16,2037,CLOSED,2024-11-24,2028-11-24,2567500.0,10.75,0,0,0.0
