NPA_ID,LOAN_ID,AS_OF_DATE,NPA_CATEGORY,DPD_AS_OF_DATE,PROVISION_AMT
1,901355,2026-07-25,REGULAR,50,301.18318
2,906027,2026-07-25,REGULAR,43,156.26487
3,901725,2026-07-25,NPA,235,21935.1572
4,903993,2026-07-25,NPA,130,14402.8047
5,903449,2026-07-25,REGULAR,38,33.46298
6,907491,2026-07-25,NPA,234,99999.99999
7,901155,2026-07-25,REGULAR,38,179.50595
8,906385,2026-07-25,NPA,303,99999.99999
9,902960,2026-07-25,REGULAR,49,18.1462
10,907652,2026-07-25,NPA,277,51939.12104
11,900932,2026-07-25,NPA,272,99999.99999
12,903467,2026-07-25,NPA,245,66838.0
13,904079,2026-07-25,NPA,138,1554.99798
14,900510,2026-07-25,REGULAR,35,36.30497
15,901488,2026-07-25,REGULAR,51,166.90787
16,901056,2026-07-25,REGULAR,42,85.14805
17,907636,2026-07-25,REGULAR,30,81.22345
18,906360,2026-07-25,REGULAR,34,161.36118
19,901914,2026-07-25,NPA,164,99999.99999
20,904055,2026-07-25,REGULAR,52,21.78125
21,902923,2026-07-25,REGULAR,44,12.09405
22,900535,2026-07-25,REGULAR,31,463.524
23,905580,2026-07-25,NPA,347,85675.0236
24,901724,2026-07-25,REGULAR,51,18.04642
25,907611,2026-07-25,REGULAR,34,624.63685
26,906782,2026-07-25,WRITE_OFF,365,99999.99999
27,901640,2026-07-25,REGULAR,30,1509.60638
28,902613,2026-07-25,REGULAR,81,1105.68038
29,904924,2026-07-25,REGULAR,35,113.84353
30,901675,2026-07-25,NPA,94,64169.07562
31,905460,2026-07-25,REGULAR,17,595.41325
32,900034,2026-07-25,REGULAR,48,179.53045
33,903382,2026-07-25,REGULAR,8,123.56163
34,901807,2026-07-25,NPA,263,99999.99999
35,906580,2026-07-25,REGULAR,1,8.66282
36,906301,2026-07-25,NPA,93,45780.48852
37,904685,2026-07-25,REGULAR,35,89.45482
38,904273,2026-07-25,REGULAR,39,119.498
39,902836,2026-07-25,NPA,338,20961.48552
40,904153,2026-07-25,REGULAR,44,520.11662
41,901340,2026-07-25,NPA,242,75311.23612
42,905180,2026-07-25,NPA,261,6583.11744
43,902473,2026-07-25,WRITE_OFF,365,88057.15
44,900676,2026-07-25,NPA,201,99999.99999
45,906947,2026-07-25,REGULAR,22,30.44182
46,904705,2026-07-25,NPA,105,3292.7238
47,902002,2026-07-25,REGULAR,25,200.93558
48,900997,2026-07-25,NPA,164,63914.82842
49,901344,2026-07-25,NPA,295,84273.8624
50,902883,2026-07-25,NPA,255,31581.9024
51,907802,2026-07-25,NPA,164,99999.99999
52,904328,2026-07-25,REGULAR,81,333.54878
53,900771,2026-07-25,REGULAR,34,26.3102
54,901700,2026-07-25,REGULAR,10,67.3118
55,904319,2026-07-25,NPA,201,99999.99999
56,906343,2026-07-25,NPA,284,99999.99999
57,903194,2026-07-25,REGULAR,15,542.1458
58,901269,2026-07-25,REGULAR,11,10.49225
59,907263,2026-07-25,NPA,180,20625.0
60,903412,2026-07-25,NPA,273,99999.99999
61,902485,2026-07-25,REGULAR,42,7.28083
62,907236,2026-07-25,NPA,314,99999.99999
63,906109,2026-07-25,REGULAR,72,255.4697
64,900711,2026-07-25,REGULAR,52,85.4479
65,904386,2026-07-25,REGULAR,41,4.3048
66,904093,2026-07-25,REGULAR,5,107.7867
67,901890,2026-07-25,NPA,308,18474.16568
68,906115,2026-07-25,REGULAR,37,101.04722
69,904321,2026-07-25,REGULAR,41,10.6357
70,901548,2026-07-25,NPA,303,99999.99999
71,904758,2026-07-25,NPA,187,5400.8
72,900559,2026-07-25,REGULAR,9,16.16445
73,904914,2026-07-25,REGULAR,71,40.78395
74,905678,2026-07-25,REGULAR,11,61.1957
75,902571,2026-07-25,REGULAR,40,177.68155
76,901395,2026-07-25,NPA,343,99999.99999
77,906788,2026-07-25,NPA,187,6478.32152
78,907454,2026-07-25,REGULAR,45,25.00035
79,903576,2026-07-25,NPA,233,15622.58632
80,900933,2026-07-25,REGULAR,18,69.31065
81,904385,2026-07-25,NPA,242,63782.6416
82,900037,2026-07-25,WRITE_OFF,365,99999.99999
83,903243,2026-07-25,REGULAR,36,6.6543
84,904427,2026-07-25,NPA,234,99999.99999
85,903435,2026-07-25,REGULAR,42,655.88157
86,901729,2026-07-25,REGULAR,31,53.97938
87,901948,2026-07-25,REGULAR,55,357.89073
88,907210,2026-07-25,REGULAR,45,348.53228
89,905374,2026-07-25,REGULAR,19,64.81307
90,902715,2026-07-25,REGULAR,46,458.22128
91,901499,2026-07-25,NPA,204,3293.61606
92,903807,2026-07-25,REGULAR,3,265.76825
93,900344,2026-07-25,REGULAR,11,28.15162
94,906299,2026-07-25,REGULAR,22,77.5905
95,906220,2026-07-25,NPA,224,99999.99999
96,901263,2026-07-25,NPA,141,99999.99999
97,903447,2026-07-25,REGULAR,48,3.696
98,901411,2026-07-25,NPA,285,99999.99999
99,900186,2026-07-25,NPA,210,38142.0
100,904926,2026-07-25,NPA,171,96761.35872
101,906182,2026-07-25,REGULAR,43,66.0833
102,900756,2026-07-25,NPA,215,47080.0
103,904611,2026-07-25,NPA,167,99999.99999
